Переменная 1,Переменная 2,r,p-value
Доза_e_см2,Degrad_index,0.999182084780731,1.5511028689867492e-26
Доза_e_см2,Roughness_nm,0.9989188920549921,1.9084284090375572e-25
Degrad_index,Roughness_nm,0.9985132206123084,3.353038453470953e-24
Доза_e_см2,Band_gap_eV,-0.9978580946409422,8.941228759273375e-23
Degrad_index,Band_gap_eV,-0.9977309603557845,1.5016700228067717e-22
Roughness_nm,Band_gap_eV,-0.997095271799251,1.3834081078696979e-21
Доза_e_см2,Pb_I_ratio,-0.9891997249334238,1.8261410077460084e-16
Pb_I_ratio,Degrad_index,-0.9885071415326236,3.187025898883877e-16
Pb_I_ratio,Band_gap_eV,0.98824006959333,3.915220593217938e-16
Pb_I_ratio,Roughness_nm,-0.9875638743491685,6.459766308003922e-16
Pb_4f7,Cs_3d5,0.9777628994748655,1.164981623362589e-13
Pb_4f7,O_1s,0.9751405812138464,3.146978397941752e-13
O_1s,Roughness_nm,0.9248317922472223,5.526481739638347e-09
O_1s,Band_gap_eV,-0.9224015994749831,7.292754058980677e-09
O_1s,Degrad_index,0.9212930237203325,8.251714265423321e-09
Доза_e_см2,O_1s,0.91959861553186,9.932463475254061e-09
O_1s,Pb_I_ratio,-0.9193698556771963,1.0181039088855144e-08
Cs_3d5,O_1s,0.9069864948613314,3.516758288227053e-08
Доза_e_см2,I_3d5,-0.8929986009287031,1.1773753681034899e-07
I_3d5,Degrad_index,-0.8894654231755844,1.5563514484992477e-07
I_3d5,Band_gap_eV,0.885618304860197,2.0870044326448329e-07
I_3d5,Roughness_nm,-0.8848991088149508,2.2021255010657678e-07
I_3d5,Pb_I_ratio,0.8722380351975028,5.369101820874854e-07
Pb_4f7,Roughness_nm,0.8181126354684238,1.0473246945279803e-05
Pb_4f7,Pb_I_ratio,-0.8154354098305268,1.1821293320635824e-05
Pb_4f7,Band_gap_eV,-0.8150806740251457,1.2010739898386591e-05
Pb_4f7,Degrad_index,0.8126778730904126,1.3364748151763761e-05
Доза_e_см2,Pb_4f7,0.8096853841139479,1.5234684059404199e-05
Organic_%,Degrad_index,-0.7978832849664065,2.4999054318136e-05
Pb_I_ratio,Organic_%,0.7964260131115639,2.651656466690533e-05
Organic_%,Band_gap_eV,0.7956035987711576,2.7407649576081076e-05
Доза_e_см2,Organic_%,-0.7921528505906129,3.143489963772862e-05
Organic_%,Roughness_nm,-0.7847520966603737,4.182997978554297e-05
O_1s,Organic_%,-0.7513016682966644,0.00013435791608185083
