,Доза_e_см2,Pb_4f7,I_3d5,Cs_3d5,N_1s,C_1s,O_1s,Pb_I_ratio,Organic_%,Degrad_index,Roughness_nm,Band_gap_eV
Доза_e_см2,0.0,1.5234684059404199e-05,1.1773753681034899e-07,0.0012691732799830345,0.8333969477443466,0.84045368946407,9.932463475254061e-09,1.8261410077460084e-16,3.143489963772862e-05,1.5511028689867492e-26,1.9084284090375572e-25,8.941228759273375e-23
Pb_4f7,1.5234684059404199e-05,0.0,0.04181443505861277,1.164981623362589e-13,0.02121755641613622,0.22297797770775568,3.146978397941752e-13,1.1821293320635824e-05,0.00108065411668999,1.3364748151763761e-05,1.0473246945279803e-05,1.2010739898386591e-05
I_3d5,1.1773753681034899e-07,0.04181443505861267,0.0,0.2637262729938606,0.03736054668796902,0.2124324648135788,0.002163461553730212,5.369101820874854e-07,0.0009430265530819047,1.5563514484992477e-07,2.2021255010657678e-07,2.0870044326448329e-07
Cs_3d5,0.0012691732799830345,1.164981623362589e-13,0.2637262729938606,0.0,0.0013531229091391993,0.09984048928061076,3.516758288227053e-08,0.0009770383436192025,0.008287511377943903,0.0011545996682290399,0.0009789311368443101,0.0010630203311435768
N_1s,0.8333969477443466,0.02121755641613622,0.03736054668796902,0.0013531229091391993,0.0,0.04793685840666569,0.16440431839838654,0.9184421430664749,0.7823763101503514,0.8395534236573516,0.8984211907072788,0.8485563194120909
C_1s,0.84045368946407,0.22297797770775568,0.2124324648135788,0.09984048928061076,0.04793685840666569,0.0,0.4664595709960614,0.9135300912151022,0.4781128529276874,0.83935486654399,0.8549527856472684,0.876378827608463
O_1s,9.932463475254061e-09,3.146978397941752e-13,0.002163461553730212,3.5167582882269776e-08,0.16440431839838654,0.4664595709960614,0.0,1.0181039088855144e-08,0.00013435791608185083,8.251714265423321e-09,5.526481739638347e-09,7.292754058980677e-09
Pb_I_ratio,1.8261410077460084e-16,1.1821293320635702e-05,5.369101820874854e-07,0.0009770383436192025,0.9184421430664756,0.9135300912151022,1.0181039088855144e-08,0.0,2.651656466690533e-05,3.187025898883877e-16,6.459766308003922e-16,3.915220593217938e-16
Organic_%,3.143489963772862e-05,0.00108065411668999,0.0009430265530818991,0.008287511377943903,0.7823763101503514,0.4781128529276874,0.00013435791608185083,2.651656466690533e-05,0.0,2.4999054318136e-05,4.182997978554297e-05,2.7407649576081076e-05
Degrad_index,1.5511028689867492e-26,1.3364748151763761e-05,1.5563514484992477e-07,0.0011545996682290399,0.8395534236573516,0.83935486654399,8.251714265423321e-09,3.187025898883877e-16,2.4999054318136e-05,0.0,3.353038453470953e-24,1.5016700228067717e-22
Roughness_nm,1.9084284090375572e-25,1.0473246945279803e-05,2.2021255010657678e-07,0.0009789311368443101,0.8984211907072799,0.8549527856472684,5.526481739638205e-09,6.459766308002887e-16,4.182997978554297e-05,3.353038453470953e-24,0.0,1.3834081078696979e-21
Band_gap_eV,8.941228759273375e-23,1.2010739898386591e-05,2.0870044326448673e-07,0.0010630203311435768,0.8485563194120909,0.876378827608463,7.292754058980867e-09,3.915220593217938e-16,2.7407649576081076e-05,1.5016700228067717e-22,1.3834081078696979e-21,0.0
